1,32,470
2,32,471
3,32,472
4,32,473
5,32,474
6,32,475
7,32,476
8,32,477
9,32,478
10,32,479
11,32,480
12,32,481
13,32,482
14,32,483
15,32,484
16,32,485
17,32,486
18,32,487
19,32,488
20,32,489
21,32,490
22,32,491
23,32,492
24,32,493
25,32,494
26,32,495
27,32,496
28,32,497
29,32,498
30,32,499
31,17,62
32,17,178
33,17,502
34,17,503
35,17,504
36,17,505
37,17,506
38,17,508
39,17,509
40,17,510
41,17,511
42,17,512
43,17,513
44,17,514
45,17,95
46,17,516
47,17,517
48,17,518
49,17,519
50,17,520
51,17,521
52,17,522
53,17,523
54,17,524
55,17,253
56,17,526
57,17,527
58,17,528
59,17,529
60,9,193
61,9,91
62,9,211
63,9,28
64,9,212
65,9,72
66,9,21
67,9,49
68,9,30
69,9,43
70,9,215
71,9,362
72,9,363
73,9,364
74,9,365
75,9,366
76,9,367
77,9,368
78,9,214
79,9,370
80,9,371
81,9,372
82,9,373
83,9,374
84,9,213
85,9,376
86,9,377
87,9,378
89,9,380
90,15,633
91,15,55
92,15,76
93,15,64
94,15,341
95,15,199
96,15,78
97,15,27
98,15,65
99,15,642
100,15,340
102,15,197
103,15,645
104,15,336
105,15,342
106,15,343
107,15,348
108,15,338
109,15,651
110,15,652
111,15,345
112,15,654
113,15,347
114,15,656
115,15,657
116,18,53
117,18,71
118,18,123
119,18,384
120,18,385
121,18,386
122,18,387
123,18,388
124,18,389
125,18,390
126,18,391
127,18,392
128,18,393
129,18,394
130,18,395
131,18,396
132,18,397
133,18,398
134,18,399
135,18,400
136,18,401
137,18,402
138,18,403
139,18,404
140,18,405
141,18,406
142,18,407
143,18,408
144,18,409
145,18,410
146,22,48
147,22,291
148,22,292
149,22,293
150,22,294
151,22,295
152,22,296
153,22,298
154,22,299
155,22,301
156,22,302
157,22,304
158,22,306
159,22,307
160,22,308
162,22,440
163,22,449
164,22,450
165,22,453
166,22,455
167,22,457
168,22,462
169,22,463
170,22,464
171,22,465
172,22,466
173,22,467
174,22,468
175,22,469
176,16,735
177,16,183
178,16,737
179,16,131
180,16,739
181,16,740
182,16,185
183,16,742
184,16,743
185,16,26
88,11,379
186,16,745
187,16,187
188,16,6
189,16,748
190,16,749
191,16,89
192,16,751
193,16,34
194,16,57
195,16,45
196,16,755
197,16,50
198,16,13
199,16,79
200,16,759
201,21,273
202,21,274
203,21,275
204,21,276
205,21,277
206,21,280
207,21,281
208,21,282
209,21,283
210,21,284
211,21,285
212,21,286
213,21,287
214,21,288
215,21,290
216,21,534
217,21,540
218,21,543
219,21,544
220,21,545
221,21,546
222,21,549
223,21,552
224,21,553
225,21,554
226,21,555
227,21,556
228,21,557
229,21,558
230,21,559
231,31,429
232,31,560
233,31,561
234,31,562
235,31,563
236,31,564
237,31,565
238,31,566
239,31,567
240,31,568
241,31,569
242,31,570
243,31,571
244,31,573
245,31,574
246,31,575
247,31,576
248,31,577
249,31,578
250,31,579
251,31,580
252,26,18
253,26,248
254,26,318
255,26,611
256,26,612
257,26,614
258,26,615
259,26,616
260,26,617
261,26,618
262,26,619
263,26,620
264,26,622
265,26,623
266,26,624
267,26,625
268,26,626
269,26,627
270,26,628
271,26,629
272,26,631
273,26,632
274,30,662
275,30,663
276,30,664
277,30,665
278,30,666
279,30,667
280,30,668
281,30,669
282,30,670
283,30,671
284,30,672
285,30,673
286,30,674
287,30,675
288,30,676
289,30,677
290,30,678
291,30,679
292,30,680
293,30,681
294,30,682
295,25,713
296,25,714
297,25,715
298,25,716
299,25,717
300,25,718
301,25,719
302,25,720
303,25,721
304,25,722
305,25,723
306,25,724
307,25,725
308,25,726
309,25,727
310,25,728
311,25,729
312,25,730
313,25,731
314,25,732
315,25,733
316,25,734
317,14,23
318,14,52
319,14,54
320,14,58
321,14,68
322,14,74
323,14,80
324,14,125
325,14,126
326,14,128
327,14,142
328,14,148
330,14,218
331,14,226
332,14,761
333,14,762
334,14,767
335,14,769
336,14,778
337,14,779
338,14,781
339,14,782
341,28,783
342,28,784
343,28,785
344,28,786
345,28,787
346,28,788
347,28,789
349,28,791
350,28,792
351,28,793
352,28,794
353,28,795
354,28,796
355,28,797
356,28,798
357,28,799
358,28,800
359,28,802
360,28,803
361,28,804
362,28,805
363,23,17
364,23,88
367,23,583
368,23,712
369,23,807
370,23,808
329,10,216
348,16,790
371,23,809
